Species,Latitude,Longitude
Chromolaena_odorata,11.0604233333,76.9503283333
Chromolaena_odorata,9.9159861111,76.3184305556
Chromolaena_odorata,9.9171138889,76.319425
Chromolaena_odorata,9.8009055556,76.3032972222
Chromolaena_odorata,15.2773370556,74.0007476667
Chromolaena_odorata,9.572368,76.9827219722
Chromolaena_odorata,9.5771809722,76.986502
Chromolaena_odorata,19.1764183128,73.1994354184
Chromolaena_odorata,19.1788503374,73.1954872068
Chromolaena_odorata,9.7903083333,76.3035611111
Chromolaena_odorata,11.13041964,76.3098405811
Chromolaena_odorata,11.5746583333,76.6459
Chromolaena_odorata,8.5918833333,76.8871305556
Chromolaena_odorata,12.2704343,76.6056615
Chromolaena_odorata,10.0493944444,76.342925
Chromolaena_odorata,10.0380238,76.572702
Chromolaena_odorata,11.8416731827,77.9466760513
Chromolaena_odorata,10.0530388889,76.3558361111
Chromolaena_odorata,10.0530388889,76.3558361111
Chromolaena_odorata,9.7902444444,76.3049555556
Chromolaena_odorata,9.7902444444,76.3049555556
Chromolaena_odorata,9.7902444444,76.3049555556
Chromolaena_odorata,12.7011461111,76.0567779444
Chromolaena_odorata,12.8141902,77.5757145
Chromolaena_odorata,8.4390181006,77.0849614218
Chromolaena_odorata,11.1313180563,76.3842191144
Chromolaena_odorata,13.0644132109,77.7450850636
Chromolaena_odorata,9.6216861111,76.8838055556
Chromolaena_odorata,9.7903083333,76.3035611111
Chromolaena_odorata,9.8327972222,76.3050444444
Chromolaena_odorata,9.7670833333,76.3180916667
Chromolaena_odorata,9.8330416667,76.3058944444
Chromolaena_odorata,9.8330416667,76.3058944444
Chromolaena_odorata,9.8352888889,76.3034777778
Chromolaena_odorata,9.8330444444,76.3058583333
Chromolaena_odorata,10.3021426544,76.4273843542
Chromolaena_odorata,18.5233595879,73.8394630328
Chromolaena_odorata,18.523212397,73.8394533098
Chromolaena_odorata,10.2934097,78.0489666
Chromolaena_odorata,10.30475755,78.06594715
Chromolaena_odorata,10.31395371,78.06421905
Chromolaena_odorata,10.3532485,78.0553861
Chromolaena_odorata,10.190615,76.5434666667
Chromolaena_odorata,10.42095507,77.91171852
Chromolaena_odorata,18.5623156,73.8252353
Chromolaena_odorata,10.13704916,77.55685411
Chromolaena_odorata,12.2165155926,75.16261518
Chromolaena_odorata,10.131873,76.682552
Chromolaena_odorata,10.9399139,76.6939785997
Chromolaena_odorata,9.9171083333,76.3193944444
Chromolaena_odorata,11.0027916667,76.9888
Chromolaena_odorata,10.6412139235,76.308366023
Chromolaena_odorata,18.7466485523,73.3942103488
Chromolaena_odorata,10.3489283333,76.937005
Chromolaena_odorata,11.8872366667,76.0757528333
Chromolaena_odorata,9.7908583333,76.3045055556
Chromolaena_odorata,18.6519228,73.7684009997
Chromolaena_odorata,9.6278416667,76.8782666667
Chromolaena_odorata,11.5757644294,75.5955210328
Chromolaena_odorata,10.81429,76.0386316667
Chromolaena_odorata,11.2235893,76.7441113997
Chromolaena_odorata,15.3130371416,74.7618770599
Chromolaena_odorata,15.3130371416,74.7618770599
Chromolaena_odorata,15.3130371416,74.7618770599
Chromolaena_odorata,12.1405696667,75.5267715278
Chromolaena_odorata,16.5891207,74.1928018
Chromolaena_odorata,12.811707661,77.5736095738
Chromolaena_odorata,11.8808966024,76.0777981479
Chromolaena_odorata,11.8810592,76.0778448
Chromolaena_odorata,11.88091562,76.07773653
Chromolaena_odorata,12.08852,75.2006383333
Chromolaena_odorata,10.2381032692,77.7276948094
Chromolaena_odorata,15.9542594903,74.3396849558
Chromolaena_odorata,15.4433138889,75.0231666667
Chromolaena_odorata,15.4433138889,75.0231666667
Chromolaena_odorata,15.4433138889,75.0231666667
Chromolaena_odorata,15.4433138889,75.0231666667
Chromolaena_odorata,15.4446277778,75.0235388889
Chromolaena_odorata,15.4402277778,75.0173361111
Chromolaena_odorata,9.8039186799,76.3210880756
Chromolaena_odorata,15.4433138889,75.0257638889
Chromolaena_odorata,15.4428833333,75.02165
Chromolaena_odorata,15.4428833333,75.02165
Chromolaena_odorata,15.4412472222,75.0224611111
Chromolaena_odorata,15.4415666667,75.023025
Chromolaena_odorata,15.4416944444,75.0232194444
Chromolaena_odorata,15.4389361111,75.0316722222
Chromolaena_odorata,8.2739596811,73.0495860055
Chromolaena_odorata,8.2739596811,73.0495860055
Chromolaena_odorata,15.4619916667,75.035375
Chromolaena_odorata,15.4416666667,75.0247972222
Chromolaena_odorata,12.0283663972,75.2376512
Chromolaena_odorata,15.439175,74.9863555556
Chromolaena_odorata,16.1157100316,73.7065937743
Chromolaena_odorata,15.4406611111,74.9848111111
Chromolaena_odorata,15.440875,74.9840472222
Chromolaena_odorata,15.4408944444,74.984025
Chromolaena_odorata,15.4401527778,74.9852944444
Chromolaena_odorata,15.4823888889,74.9791277778
Chromolaena_odorata,15.49258,74.98677
Chromolaena_odorata,15.4907611111,74.9844777778
Chromolaena_odorata,15.4404716667,74.9851133333
Chromolaena_odorata,9.7389111111,76.3544333333
Chromolaena_odorata,15.4907611111,74.9844777778
Chromolaena_odorata,15.490925,74.9840888889
Chromolaena_odorata,10.2863691519,77.0057148859
Chromolaena_odorata,9.9184611111,76.3184638889
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,11.0187989722,76.9486789722
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,10.2877073056,76.2379531667
Chromolaena_odorata,10.946255,76.710986
Chromolaena_odorata,10.946799,76.711256
Chromolaena_odorata,11.018555,76.9482516667
Chromolaena_odorata,15.3733649718,73.9671703801
Chromolaena_odorata,11.025812,76.94753
Chromolaena_odorata,10.9136079722,76.7544419722
Chromolaena_odorata,11.025665,76.9470066667
Chromolaena_odorata,10.9136172694,76.7546731979
Chromolaena_odorata,10.913356,76.7545259722
Chromolaena_odorata,9.1740876307,76.7379228723
Chromolaena_odorata,9.0337619917,76.642002209
Chromolaena_odorata,9.0337619917,76.642002209
Chromolaena_odorata,12.2689787831,75.4126027599
Chromolaena_odorata,8.1290297,77.3640257
Chromolaena_odorata,15.3313125624,74.2386696116
Chromolaena_odorata,9.790525,76.3046111111
Chromolaena_odorata,9.790525,76.3046444444
Chromolaena_odorata,16.3628065319,74.1635084152
Chromolaena_odorata,8.870620306,76.6018711481
Chromolaena_odorata,8.870620306,76.6018711481
Chromolaena_odorata,18.6619272135,73.7617594376
Chromolaena_odorata,12.035137,75.3610936
Chromolaena_odorata,9.8337527778,76.2975583333
Chromolaena_odorata,9.8347527778,76.2984138889
Chromolaena_odorata,12.1273138889,75.5165972222
Chromolaena_odorata,8.1608861111,77.4165916667
Chromolaena_odorata,11.016863,76.9459439722
Chromolaena_odorata,9.4516527778,76.5377527778
Chromolaena_odorata,11.0661333333,76.1142583333
Chromolaena_odorata,11.107694886,76.7901581536
Chromolaena_odorata,11.7770716202,75.526878275
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,10.9136611111,76.7545888889
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,15.4622361111,74.9706722222
Chromolaena_odorata,9.4826388889,77.5137972222
Chromolaena_odorata,9.7987888889,76.3019194444
Chromolaena_odorata,15.4370333333,74.9878166667
Chromolaena_odorata,12.4855915644,75.3323319554
Chromolaena_odorata,11.73353,75.93799
Chromolaena_odorata,8.8699963133,76.6013185704
Chromolaena_odorata,8.8699963133,76.6013185704
Chromolaena_odorata,8.8699963133,76.6013185704
Chromolaena_odorata,8.8699963133,76.6013185704
Chromolaena_odorata,18.4879637997,73.8252106997
Chromolaena_odorata,11.9985736,75.3792447972
Chromolaena_odorata,9.173462,76.738735
Chromolaena_odorata,9.174374,76.7388899722
Chromolaena_odorata,11.04198855,76.92872563
Chromolaena_odorata,15.433175,75.0253166667
Chromolaena_odorata,15.433175,75.0253166667
Chromolaena_odorata,15.4272555556,75.0331861111
Chromolaena_odorata,15.4369638889,75.0291694444
Chromolaena_odorata,15.4277055556,75.0322972222
Chromolaena_odorata,15.4306472222,75.0285388889
Chromolaena_odorata,13.518309379,75.0886092615
Chromolaena_odorata,12.82178157,77.54481574
Chromolaena_odorata,10.795974769,76.6353487596
Chromolaena_odorata,9.5693122332,76.4203893691
Chromolaena_odorata,9.5815610207,76.4222753048
Chromolaena_odorata,9.9116134072,76.2680459627
Chromolaena_odorata,11.0654009722,76.9080909722
Chromolaena_odorata,15.55660536,73.78977467
Chromolaena_odorata,11.0839036066,76.9201266021
Chromolaena_odorata,12.0592638889,75.1908222222
Chromolaena_odorata,12.0592166667,75.1906944444
Chromolaena_odorata,8.540345,76.9957366667
Chromolaena_odorata,15.4414638889,75.0239583333
Chromolaena_odorata,12.62336045,75.25453955
Chromolaena_odorata,9.0345018604,76.6416436419
Chromolaena_odorata,9.0345018604,76.6416436419
Chromolaena_odorata,10.8051016667,75.9561183333
Chromolaena_odorata,15.4131027778,75.0046138889
Chromolaena_odorata,10.1016080223,76.363678645
Chromolaena_odorata,11.04564758,76.87547947
Chromolaena_odorata,9.7904444444,76.3046583333
Chromolaena_odorata,9.7905277778,76.3039583333
Chromolaena_odorata,16.2469656993,74.0698600933
Chromolaena_odorata,15.3275099772,74.2395629156
Chromolaena_odorata,9.7943277778,76.3084666667
Chromolaena_odorata,9.788625,76.3114416667
Chromolaena_odorata,9.7514361111,76.3271027778
Chromolaena_odorata,16.6814534344,74.2061567853
Chromolaena_odorata,16.6814534344,74.2061567853
Chromolaena_odorata,9.2555577825,76.5099282607
Chromolaena_odorata,10.6275196,76.3955603
Chromolaena_odorata,9.5020664532,77.219825361
Chromolaena_odorata,9.7916888889,76.3031166667
Chromolaena_odorata,9.7999055556,76.3042027778
Chromolaena_odorata,8.445595,76.9845859722
Chromolaena_odorata,9.6198304836,76.8851566315
Chromolaena_odorata,9.7905083333,76.3045277778
Chromolaena_odorata,9.8053736696,76.3354288414
Chromolaena_odorata,15.2442763,73.9389036
Chromolaena_odorata,17.6978868673,73.9703850512
Chromolaena_odorata,9.787975,76.3038416667
Chromolaena_odorata,12.1315917778,75.5196761944
Chromolaena_odorata,12.1510583333,75.209975
Chromolaena_odorata,16.0032478,73.6371547
Chromolaena_odorata,12.8416050147,77.5839683041
Chromolaena_odorata,12.0571466667,75.2136383333
Chromolaena_odorata,12.01111945,76.0606083333
Chromolaena_odorata,9.8106027778,76.3249027778
Chromolaena_odorata,9.8105916667,76.3248416667
Chromolaena_odorata,15.7535314606,73.6653591424
Chromolaena_odorata,9.8055444444,76.3255555556
Chromolaena_odorata,8.5629567611,76.8858063966
Chromolaena_odorata,15.06685274,73.96860148
Chromolaena_odorata,18.5802154926,73.7852832103
Chromolaena_odorata,12.8225173,77.7294705
Chromolaena_odorata,15.9820363914,73.6658325878
Chromolaena_odorata,8.6817881847,76.7801599533
Chromolaena_odorata,12.5019963655,75.2610311285
Chromolaena_odorata,8.8403660327,76.7041306932
Chromolaena_odorata,8.8378876244,76.7075943945
Chromolaena_odorata,8.8378876244,76.7075943945
Chromolaena_odorata,11.5800448441,76.0705593601
Chromolaena_odorata,8.5617525652,76.8874822397
Chromolaena_odorata,13.1943429852,77.6342845308
Chromolaena_odorata,11.1829803395,76.9354681671
Chromolaena_odorata,9.6624406,76.3701745997
Chromolaena_odorata,9.79045,76.3046472222
Chromolaena_odorata,12.5660916667,77.4571611111
Chromolaena_odorata,12.5660916667,77.4571611111
Chromolaena_odorata,12.5663944444,77.4562888889
Chromolaena_odorata,10.0018089339,76.2197766826
Chromolaena_odorata,9.7545861111,76.3565666667
Chromolaena_odorata,9.7382555556,76.3512861111
Chromolaena_odorata,13.2471553139,77.2158288306
Chromolaena_odorata,13.2494028997,77.2208727997
Chromolaena_odorata,9.1909642516,76.7692338817
Chromolaena_odorata,15.608345,73.7621533333
Chromolaena_odorata,10.0982591685,76.3648925722
Chromolaena_odorata,9.7906194444,76.3032138889
Chromolaena_odorata,9.7906194444,76.3032138889
Chromolaena_odorata,11.7242104,76.1484832
Chromolaena_odorata,8.4430424,77.2534469
Chromolaena_odorata,9.7906113738,76.3046696037
Chromolaena_odorata,9.7658083333,76.2861055556
Chromolaena_odorata,12.5019963655,75.2610311285
Chromolaena_odorata,15.2235413204,73.933343823
Chromolaena_odorata,15.2234517,73.9335584
Chromolaena_odorata,18.5770611111,73.7960666667
Chromolaena_odorata,19.1412236719,72.9858337947
Chromolaena_odorata,15.242717158,73.9379759975
Chromolaena_odorata,9.644723,76.3600517997
Chromolaena_odorata,9.6447579,76.3600124997
Chromolaena_odorata,9.6356611111,76.7657861111
Chromolaena_odorata,9.6314722222,76.8761972222
Chromolaena_odorata,10.7683,76.3164611111
Chromolaena_odorata,9.6741353941,76.3400962204
Chromolaena_odorata,16.845364,74.5388209722
Chromolaena_odorata,9.6070472222,76.8705138889
Chromolaena_odorata,9.6070472222,76.8705138889
Chromolaena_odorata,9.6051694444,76.8643305556
Chromolaena_odorata,9.6051694444,76.8643305556
Chromolaena_odorata,19.1635084997,72.8921535
Chromolaena_odorata,16.9948916667,73.2774555556
Chromolaena_odorata,12.9206072,77.4415806
Chromolaena_odorata,12.9206072,77.4415806
Chromolaena_odorata,12.8225173,77.7294705
Chromolaena_odorata,12.8300731462,77.5940180445
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.3179111111,76.6056833333
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,11.9920825833,75.8919601389
Chromolaena_odorata,9.3062166667,76.6043166667
Chromolaena_odorata,9.3725472222,76.5769583333
Chromolaena_odorata,9.2803472222,76.5766555556
Chromolaena_odorata,12.214969576,75.157568939
Chromolaena_odorata,12.214969576,75.157568939
Chromolaena_odorata,15.0313740789,74.014454037
Chromolaena_odorata,12.8902456997,74.8717091997
Chromolaena_odorata,8.51971963,76.89915104
Chromolaena_odorata,12.9013483333,77.4921116667
Chromolaena_odorata,9.7904722222,76.3036527778
Chromolaena_odorata,9.7904722222,76.3036527778
Chromolaena_odorata,9.7904722222,76.3036527778
Chromolaena_odorata,18.5230166667,73.8187633333
Chromolaena_odorata,9.3085944444,76.6169055556
Chromolaena_odorata,9.3085944444,76.6169055556
Chromolaena_odorata,9.3085944444,76.6169055556
Chromolaena_odorata,12.5256838143,76.8041261479
Chromolaena_odorata,18.6750675,73.7458016
Chromolaena_odorata,15.6680369722,73.8376789722
Chromolaena_odorata,9.3079305556,76.6143583333
Chromolaena_odorata,18.6848560625,72.9931110889
Chromolaena_odorata,12.7723183333,77.8769683333
Chromolaena_odorata,18.5292277778,73.8175305556
Chromolaena_odorata,11.998775,77.1398311
Chromolaena_odorata,12.8742079148,77.5271423534
Chromolaena_odorata,13.0175201878,77.5672953317
Chromolaena_odorata,13.0171856878,77.567145128
Chromolaena_odorata,19.0632596389,73.0514504761
Chromolaena_odorata,9.3021527778,76.6103
Chromolaena_odorata,9.3025444444,76.6101694444
Chromolaena_odorata,9.3039083333,76.606975
Chromolaena_odorata,19.0443388333,73.08545
