Species,Latitude,Longitude
Lantana_camara,9.5851416667,76.5382861111
Lantana_camara,17.9264469502,73.7712420523
Lantana_camara,19.255407953,73.6368462816
Lantana_camara,13.32526389,77.08039167
Lantana_camara,12.51150833,76.88074444
Lantana_camara,12.787725,76.24566667
Lantana_camara,12.781425,76.24575
Lantana_camara,18.7646206482,73.4237774621
Lantana_camara,18.5716116026,73.4366643892
Lantana_camara,11.1699557044,77.6961218018
Lantana_camara,10.551303,77.0007784
Lantana_camara,10.2869615,76.8477713
Lantana_camara,10.0875485997,77.0910585997
Lantana_camara,10.0351844,77.0272211
Lantana_camara,12.3139223997,76.6292908
Lantana_camara,11.6602736997,77.1308243997
Lantana_camara,11.5288506997,76.693785
Lantana_camara,11.6038577,76.6919805997
Lantana_camara,9.6227166667,76.8813444444
Lantana_camara,11.5668254,76.6360365997
Lantana_camara,9.8327111111,76.3051055556
Lantana_camara,12.309367463,76.6026388854
Lantana_camara,11.4169682499,76.7405208573
Lantana_camara,10.2786111111,77.4830555556
Lantana_camara,10.308375,76.8330083333
Lantana_camara,10.0582496902,76.3247448816
Lantana_camara,10.0654694045,76.3326009158
Lantana_camara,10.2429888833,77.5615083333
Lantana_camara,10.0674374333,76.3377970167
Lantana_camara,10.0675783667,76.3378212833
Lantana_camara,10.0579425973,76.3258357087
Lantana_camara,9.6335216667,76.377725
Lantana_camara,9.345674305,76.5677389875
Lantana_camara,10.0515349722,76.356098
Lantana_camara,10.0922523,76.9168610333
Lantana_camara,13.0575208024,77.6262027025
Lantana_camara,18.3748210038,73.7703280896
Lantana_camara,10.0573439122,76.3281904689
Lantana_camara,10.0546418731,76.3249674975
Lantana_camara,8.3767395537,77.126446257
Lantana_camara,11.2971886768,75.8155650997
Lantana_camara,10.0574311574,76.3270272477
Lantana_camara,10.0574323016,76.327002928
Lantana_camara,11.0136785832,76.8980369344
Lantana_camara,17.5639472222,73.4464027778
Lantana_camara,9.6227166667,76.8813444444
Lantana_camara,11.29622137,75.91973824
Lantana_camara,12.1325416389,75.5190887222
Lantana_camara,18.6049839657,73.6866783723
Lantana_camara,12.1391973333,75.5266799722
Lantana_camara,12.8460916667,77.7769777778
Lantana_camara,10.0635457167,77.0426178
Lantana_camara,8.3277236394,77.1451210231
Lantana_camara,10.1730509112,76.4395166294
Lantana_camara,20.0135004869,75.319722191
Lantana_camara,10.0638653333,77.0426996667
Lantana_camara,17.0460849,74.8501648
Lantana_camara,10.19794761,77.62129254
Lantana_camara,10.19397101,77.62719355
Lantana_camara,10.19058444,77.62395419
Lantana_camara,10.1922409,77.6552231
Lantana_camara,13.0621226541,77.6142316684
Lantana_camara,10.38983235,78.0486506
Lantana_camara,19.6086388889,73.7284777778
Lantana_camara,9.6309346997,77.1552705
Lantana_camara,10.0889328909,77.0595246926
Lantana_camara,10.40760301,77.4311379
Lantana_camara,11.4693694444,76.7222861111
Lantana_camara,10.62420693,77.45948171
Lantana_camara,10.62643425,77.47438315
Lantana_camara,11.4582033333,76.691345
Lantana_camara,10.56665905,77.78289042
Lantana_camara,8.4807722222,77.2599583333
Lantana_camara,18.5176225,73.8431435
Lantana_camara,14.4270474,76.578438
Lantana_camara,18.5238376,73.8147704
Lantana_camara,10.0982591685,76.3648925722
Lantana_camara,10.0982591685,76.3648925722
Lantana_camara,8.6087620457,76.8610167503
Lantana_camara,18.521138,73.8163859722
Lantana_camara,8.3325388889,77.5443277778
Lantana_camara,20.7821211631,75.3463743269
Lantana_camara,21.0236297116,75.557762386
Lantana_camara,8.4879685897,76.980913505
Lantana_camara,12.5281738909,76.8746581302
Lantana_camara,10.0982591685,76.3648925722
Lantana_camara,19.0692234039,73.0674819946
Lantana_camara,10.106445,76.354885
Lantana_camara,18.6040377,73.9208537
Lantana_camara,18.4755986,73.8451701
Lantana_camara,13.0112083333,75.671125
